Sequence Feature > Primary DBID	Sequence Feature > Secondary Identifier	Sequence Feature > Standard Name	Sequence Feature > Sgd Alias	Sequence Feature > Description	Sequence Feature > Feature Type
S000001183	YHR141C	RPL42B	ribosomal 60S subunit protein L42B L41B MAK18 YP44 YL27 eL42 L42B L44e	Ribosomal 60S subunit protein L42B; required for propagation of the killer toxin-encoding M1 double-stranded RNA satellite of the L-A double-stranded RNA virus; homologous to mammalian ribosomal protein L36A, no bacterial homolog; RPL42B has a paralog, RPL42A, that arose from the whole genome duplication	ORF
S000006247	YPR043W	RPL43A	L43A ribosomal 60S subunit protein L43A eL43 L43e	Ribosomal 60S subunit protein L43A; null mutation confers a dominant lethal phenotype; homologous to mammalian ribosomal protein L37A, no bacterial homolog; RPL43A has a paralog, RPL43B, that arose from the whole genome duplication	ORF
S000003855	YJR094W-A	RPL43B	ribosomal 60S subunit protein L43B eL43 L43B L43e	Ribosomal 60S subunit protein L43B; homologous to mammalian ribosomal protein L37A, no bacterial homolog; RPL43B has a paralog, RPL43A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	ORF
S000000235	YBR031W	RPL4A	rp2 YL2 L4A L2A uL4 ribosomal 60S subunit protein L4A L4	Ribosomal 60S subunit protein L4A; N-terminally acetylated; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4A has a paralog, RPL4B, that arose from the whole genome duplication	ORF
S000002419	YDR012W	RPL4B	rp2 YL2 L4B L2B ribosomal 60S subunit protein L4B uL4 L4	Ribosomal 60S subunit protein L4B; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4B has a paralog, RPL4A, that arose from the whole genome duplication	ORF
S000006052	YPL131W	RPL5	YL3 LPI14 RPL1 L5 L1a ribosomal 60S subunit protein L5 uL18 L18	Ribosomal 60S subunit protein L5; nascent Rpl5p is bound by specific chaperone Syo1p during translation; homologous to mammalian ribosomal protein L5 and bacterial L18; binds 5S rRNA and is required for 60S subunit assembly	ORF
S000004538	YML073C	RPL6A	L6A L17A ribosomal 60S subunit protein L6A eL6 L6e rp18 YL16A YL16	Ribosomal 60S subunit protein L6A; N-terminally acetylated; binds 5.8S rRNA; homologous to mammalian ribosomal protein L6, no bacterial homolog; RPL6A has a paralog, RPL6B, that arose from the whole genome duplication	ORF
S000004440	YLR448W	RPL6B	rp18 YL16 L6B L17B ribosomal 60S subunit protein L6B eL6 L6e	Ribosomal 60S subunit protein L6B; binds 5.8S rRNA; homologous to mammalian ribosomal protein L6, no bacterial homolog; RPL6B has a paralog, RPL6A, that arose from the whole genome duplication	ORF
S000003044	YGL076C	RPL7A	L6A L7A L30 rp11 uL30 ribosomal 60S subunit protein L7A YL8	Ribosomal 60S subunit protein L7A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds to Domain II of 25S and 5.8S rRNAs; homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7A has a paralog, RPL7B, that arose from the whole genome duplication	ORF
S000006119	YPL198W	RPL7B	L7B rp11 YL8 ribosomal 60S subunit protein L7B L30 L6B uL30	Ribosomal 60S subunit protein L7B; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds to Domain II of 25S and 5.8S rRNAs; homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7B has a paralog, RPL7A, that arose from the whole genome duplication	ORF
S000001025	YHL033C	RPL8A	L4A L8A eL8 ribosomal 60S subunit protein L8A L8e rp6 YL5 MAK7	Ribosomal 60S subunit protein L8A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8A has a paralog, RPL8B, that arose from the whole genome duplication	ORF
S000003968	YLL045C	RPL8B	SCL41 L4B L8B ribosomal 60S subunit protein L8B eL8 L8e rp6 YL5 KRB1	Ribosomal 60S subunit protein L8B; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8B has a paralog, RPL8A, that arose from the whole genome duplication	ORF
S000003115	YGL147C	RPL9A	L9A ribosomal 60S subunit protein L9A rp24 L8A YL11 uL6 L6	Ribosomal 60S subunit protein L9A; homologous to mammalian ribosomal protein L9 and bacterial L6; RPL9A has a paralog, RPL9B, that arose from a single-locus duplication	ORF
S000005011	YNL067W	RPL9B	rp24 YL11 L8B L9B ribosomal 60S subunit protein L9B uS4 uL6 L6	Ribosomal 60S subunit protein L9B; homologous to mammalian ribosomal protein L9 and bacterial L6; RPL9B has a paralog, RPL9A, that arose from a single-locus duplication	ORF
S000000234	YBR030W	RKM3	protein-lysine N-methyltransferase	Ribosomal lysine methyltransferase; specific for monomethylation of Rpl42ap and Rpl42bp (lysine 40); nuclear SET domain containing protein; relocalizes to the cytosol in response to hypoxia	ORF
S000002665	YDR257C	RKM4	RMS1 ribosomal lysine N-methyltransferase SET7	Ribosomal lysine methyltransferase; specific for monomethylation of Rpl42ap and Rpl42bp (lysine 55); nuclear SET-domain containing protein	ORF
S000004433	YLR441C	RPS1A	rp10A S1A ribosomal 40S subunit protein S1A RP10A S1e eS1	Ribosomal protein 10 (rp10) of the small (40S) subunit; homologous to mammalian ribosomal protein S3A, no bacterial homolog; RPS1A has a paralog, RPS1B, that arose from the whole genome duplication	ORF
S000004528	YML063W	RPS1B	rp10B S1B eS1 ribosomal 40S subunit protein S1B S1e PLC2 RP10B	Ribosomal protein 10 (rp10) of the small (40S) subunit; homologous to mammalian ribosomal protein S3A, no bacterial homolog; RPS1B has a paralog, RPS1A, that arose from the whole genome duplication	ORF
S000003350	YGR118W	RPS23A	uS12 rp37 YS14 S28A S12 S23A ribosomal 40S subunit protein S23A	Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit; required for translational accuracy; homologous to mammalian ribosomal protein S23 and bacterial S12; RPS23A has a paralog, RPS23B, that arose from the whole genome duplication; deletion of both RPS23A and RPS23B is lethal	ORF
S000006336	YPR132W	RPS23B	ribosomal 40S subunit protein S23B rp37 YS14 uS12 S23B S28B S12	Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit; required for translational accuracy; homologous to mammalian ribosomal protein S23 and bacterial S12; RPS23B has a paralog, RPS23A, that arose from the whole genome duplication; deletion of both RPS23A and RPS23B is lethal	ORF
S000004486	YML024W	RPS17A	S17A ribosomal 40S subunit protein S17A eS17 S17e RP51A RPL51A rp51A	Ribosomal protein 51 (rp51) of the small (40s) subunit; homologous to mammalian ribosomal protein S17, no bacterial homolog; RPS17A has a paralog, RPS17B, that arose from the whole genome duplication	ORF
S000002855	YDR447C	RPS17B	rp51B S17B eS17 ribosomal 40S subunit protein S17B S17e RP51B RPL51B	Ribosomal protein 51 (rp51) of the small (40s) subunit; homologous to mammalian ribosomal protein S17, no bacterial homolog; RPS17B has a paralog, RPS17A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	ORF
S000002606	YDR198C	RKM2	protein-lysine N-methyltransferase	Ribosomal protein lysine methyltransferase; responsible for trimethylation of the lysine residue at position 3 of Rpl12Ap and Rpl12Bp	ORF
S000002288	YDL130W	RPP1B	L44' P1B Ax RPL44' RPLA3 ribosomal protein P1B YP1beta	Ribosomal protein P1 beta; component of the ribosomal stalk, which is involved in interaction of translational elongation factors with ribosome; free (non-ribosomal) P1 stimulates the phosphorylation of the eIF2 alpha subunit (Sui2p) by Gcn2p; accumulation is regulated by phosphorylation and interaction with the P2 stalk component	ORF
S000005399	YOL039W	RPP2A	P2A RPL44 RPLA2 ribosomal protein P2A	Ribosomal protein P2 alpha; a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosome; free (non-ribosomal) P2 stimulates the phosphorylation of the eIF2 alpha subunit (Sui2p) by Gcn2p; regulates the accumulation of P1 (Rpp1Ap and Rpp1Bp) in the cytoplasm	ORF
S000002790	YDR382W	RPP2B	ribosomal protein P2B RPL45 YPA1 P2B L45 YP2beta	Ribosomal protein P2 beta; a component of the ribosomal stalk, which is involved in the interaction between translational elongation factors and the ribosome; free (non-ribosomal) P2 stimulates the phosphorylation of the eIF2 alpha subunit (Sui2p) by Gcn2p; regulates the accumulation of P1 (Rpp1Ap and Rpp1Bp) in the cytoplasm	ORF
S000007287	Q0020	15S_RRNA	14s rRNA 15S_RRNA_2	Ribosomal RNA of the small mitochondrial ribosomal subunit; MSU1 allele suppresses ochre stop mutations in mitochondrial protein-coding genes	rRNA_gene
S000002576	YDR169C	STB3	""	Ribosomal RNA processing element (RRPE)-binding protein; involved in the glucose-induced transition from quiescence to growth; restricted to nucleus in quiescent cells, released into cytoplasm after glucose repletion; binds Sin3p; relative distribution to the nucleus increases upon DNA replication stress	ORF
S000002239	YDL081C	RPP1A	P1A RPLA1 ribosomal protein P1A	Ribosomal stalk protein P1 alpha; involved in the interaction between translational elongation factors and the ribosome; free (non-ribosomal) P1 stimulates the phosphorylation of the eIF2 alpha subunit (Sui2p) by Gcn2p; accumulation of P1 in the cytoplasm is regulated by phosphorylation and interaction with the P2 stalk component	ORF
S000003517	YGR285C	ZUO1	zuotin	Ribosome-associated chaperone; zuotin functions in ribosome biogenesis and as a chaperone for nascent polypeptide chains in partnership with Ssz1p and SSb1/2; contains a DnaJ domain and functions as a J-protein partner for Ssb1p and Ssb2p; human gene DNAJC2 can partially complement yeast zuo1 null mutant	ORF
S000001278	YIL016W	SNL1	""	Ribosome-associated protein; proposed to act in protein synthesis and nuclear pore complex biogenesis and maintenance as well as protein folding; has similarity to the mammalian BAG-1 protein	ORF
S000001399	YIL137C	TMA108	TAE3 RBF108	Ribosome-associated protein that is involved in ribosome biogenesis; putative metalloprotease	ORF
S000003483	YGR251W	NOP19	DHI1	Ribosome biogenesis factor; nucleolar protein associated with pre-rRNA components of the 90S preribosome, required for cleavage of pre-rRNA at A0, A1 and A2 sites; interacts with RNA helicase Dhr2p and RNA helicase-like protein Utp25p; required for incorporation of Utp25p into preribosomes	ORF
S000004861	YMR247C	RKR1	LTN1 ubiquitin-protein ligase RKR1	RING domain E3 ubiquitin ligase; involved in ubiquitin-mediated degradation of non-stop proteins and translationally stalled ER membrane proteins; component of ribosome-bound RQC (ribosome quality control) complex; degrades products of mRNAs lacking a termination codon regardless of a poly(A) tail; functional connections to chromatin modification; homolog of mouse Listerin, mutations in which reported to cause neurodegeneration	ORF
S000003746	YJL210W	PEX2	ubiquitin-protein ligase peroxin 2 CRT1 PAS5	RING-finger peroxin and E3 ubiquitin ligase; peroxisomal membrane protein with a C-terminal zinc-binding RING domain, forms translocation subcomplex with Pex10p and Pex12p which functions in peroxisomal matrix protein import	ORF
S000001725	YKR017C	HEL1	E3 ubiquitin-protein ligase HEL1	RING finger ubiquitin ligase (E3); involved in ubiquitylation and degradation of excess histones; interacts with Ubc4p and Rad53p; null mutant sensitive to hydroxyurea (HU)	ORF
S000002674	YDR266C	HEL2	E3 ubiquitin-protein ligase HEL2	RING finger ubiquitin ligase (E3); involved in ubiquitylation and degradation of excess histones; interacts with Ubc4p and Rad53p; null mutant sensitive to hydroxyurea (HU); green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; computational analysis suggests a role as a transcription factor	ORF
S000005493	YOL133W	HRT1	HRT2 RBX1 ROC1 SCF ubiquitin ligase complex subunit HRT1	RING-H2 domain core subunit of multiple ubiquitin ligase complexes; subunit of Skp1-Cullin-F-box (SCF) that tethers the Cdc34p (E2) and Cdc53p (cullin) SCF subunits, and is required for degradation of Gic2p, Far1p, Sic1p and Cln2p; subunit of the Rtt101p-Mms1p-Mms22p ubiquitin ligase that stabilizes replication forks after DNA lesions; subunit of the Cul3p-Elc1p-Ela1p ubiquitin ligase involved in Rpb1p degradation as part of transcription-coupled repair	ORF
S000002721	YDR313C	PIB1	phosphatidylinositol-3-phosphate-binding ubiquitin-protein ligase	RING-type ubiquitin ligase of the endosomal and vacuolar membranes; binds phosphatidylinositol(3)-phosphate; contains a FYVE finger domain	ORF
S000006149	YPL228W	CET1	CES5 polynucleotide 5'-phosphatase	RNA 5'-triphosphatase involved in mRNA 5' capping; subunit of mRNA capping enzyme, which is a heterotetramer composed of a Cet1p homodimer and two molecules of guanylyltransferase Ceg1p; Cet1p also has a role in regulation of RNAPII pausing at promoter-proximal sites; interaction between Cet1p and Ceg1p is required for Ceg1p nuclear import; mammalian enzyme is single bifunctional polypeptide; human homolog RNGTT can complement yeast cet1 null mutant	ORF
S000004792	YMR180C	CTL1	polynucleotide 5'-phosphatase CTH1	RNA 5'-triphosphatase, localizes to both the nucleus and cytoplasm; CTL1 has a paralog, CET1, that arose from the whole genome duplication	ORF
S000001128	YHR086W	NAM8	MRE2 MUD15	RNA binding protein, component of the U1 snRNP protein; mutants are defective in meiotic recombination and in formation of viable spores, involved in the formation of DSBs through meiosis-specific splicing of REC107 pre-mRNA; Nam8p regulon embraces the meiotic pre-mRNAs of REC107, HFM1, AMA1 SPO22 and PCH2; the putative RNA binding domains RRM2 and RRM3 are required for Nam8p meiotic function	ORF
S000000437	YBR233W	PBP2	HEK1	RNA binding protein; has similarity to mammalian heterogeneous nuclear RNP K protein, involved in the regulation of telomere position effect and telomere length; relative distribution to the nucleus increases upon DNA replication stress	ORF
S000000128	YBL032W	HEK2	KHD1	RNA binding protein involved in asymmetric localization of ASH1 mRNA; represses translation of ASH1 mRNA, an effect reversed by Yck1p-dependent phosphoryation; regulates telomere position effect and length; similarity to hnRNP-K	ORF
S000002651	YDR243C	PRP28	mRNA splicing protein PRP28	RNA binding protein; involved in RNA isomerization at the 5' splice site and for exchange of U6 for U1 snRNA at the 5' splice site; similar to the RNA helicases of the DEAD-box family	ORF
S000004842	YMR229C	RRP5	""	RNA binding protein involved in synthesis of 18S and 5.8S rRNAs; component of ribosomal small subunit (SSU) processome and 90S preribosome; required for pre-rRNA packaging and compaction of processome into dense terminal balls; part of Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription with role in biogenesis of large ribosomal subunit; binds single stranded tracts of U's; relocalizes from nucleolus to nucleus upon DNA replication stress	ORF
S000002603	YDR195W	REF2	RNA-processing protein REF2	RNA-binding protein; involved in the cleavage step of mRNA 3'-end formation prior to polyadenylation, and in snoRNA maturation; part of holo-CPF subcomplex APT, which associates with 3'-ends of snoRNA- and mRNA-encoding genes; relocalizes to the cytosol in response to hypoxia	ORF
S000000752	YEL026W	SNU13	RNA binding protein SNU13	RNA binding protein; part of U3 snoRNP involved in rRNA processing, part of U4/U6-U5 tri-snRNP involved in mRNA splicing, similar to human 15.5K protein	ORF
S000002840	YDR432W	NPL3	MTR13 NAB1 MTS1 NOP3 mRNA-binding protein NPL3	RNA-binding protein; promotes elongation, regulates termination, and carries poly(A) mRNA from nucleus to cytoplasm; represses translation initiation by binding eIF4G; required for pre-mRNA splicing; interacts with E3 ubiquitin ligase Bre1p, linking histone ubiquitination to mRNA processing; may have role in telomere maintenance; dissociation from mRNAs promoted by Mtr10p; phosphorylated by Sky1p in cytoplasm; protein abundance increases in response to DNA replication stress	ORF
S000002209	YDL051W	LHP1	LAH1 YLA1	RNA binding protein required for maturation of tRNA and U6 snRNA; acts as a molecular chaperone for RNAs transcribed by polymerase III; homologous to human La (SS-B) autoantigen	ORF
S000005068	YNL124W	NAF1	RNA-binding snoRNP assembly protein	RNA-binding protein required for the assembly of box H/ACA snoRNPs; thus required for pre-rRNA processing; forms a complex with Shq1p and interacts with H/ACA snoRNP components Nhp2p and Cbf5p; similar to Gar1p	ORF
S000006111	YPL190C	NAB3	HMD1	RNA-binding protein, subunit of Nrd1 complex (Nrd1p-Nab3p-Sen1p); complex interacts with exosome to mediate 3'-end formation of some mRNAs, snRNAs, snoRNAs, and CUTs; required for termination of non-poly(A) transcripts and efficient splicing; Nrd1-Nab3 pathway appears to have a role in rapid suppression of some genes when cells are shifted to poor growth conditions, indicating role for Nrd1-Nab3 in regulating cellular response to nutrient availability	ORF
S000003190	YGL222C	EDC1	""	RNA-binding protein that activates mRNA decapping directly; binds to mRNA substrate and enhances activity of decapping proteins Dcp1p and Dcp2p; has a role in translation during heat stress; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; EDC1 has a paralog, EDC2, that arose from the whole genome duplication	ORF
S000002923	YDR515W	SLF1	SRO99	RNA binding protein that associates with polysomes; may be involved in regulating mRNA translation; involved in the copper-dependent mineralization of copper sulfide complexes on cell surface in cells cultured in copper salts; SLF1 has a paralog, SRO9, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	ORF
S000001613	YKL130C	SHE2	""	RNA-binding protein that binds specific mRNAs and interacts with She3p; part of the mRNA localization machinery that restricts accumulation of certain proteins to the bud; binds to ER-derived membranes and targets mRNAs to cortical ER	ORF
S000000837	YER035W	EDC2	""	RNA-binding protein that directly activates mRNA decapping; binds mRNA substrate and enhances activity of decapping proteins Dcp1p and Dcp2p; has a role in translation during heat stress; protein increases in abundance and relocalizes to nucleolus and to nuclear foci upon DNA replication stress; EDC2 has a paralog, EDC1, that arose from the whole genome duplication	ORF
S000006105	YPL184C	MRN1	PTR69	RNA-binding protein that may be involved in translational regulation; binds specific categories of mRNAs, including those that contain upstream open reading frames (uORFs) and internal ribosome entry sites (IRES); interacts genetically with chromatin remodelers and splicing factors, linking chromatin state, splicing and as a result mRNA maturation	ORF
S000000416	YBR212W	NGR1	RBP1	RNA binding protein that negatively regulates growth rate; interacts with the 3' UTR of the mitochondrial porin (POR1) mRNA and enhances its degradation; overexpression impairs mitochondrial function; interacts with Dhh1p to mediate POR1 mRNA decay; expressed in stationary phase	ORF
S000005141	YNL197C	WHI3	mRNA-binding protein WHI3	RNA binding protein that sequesters CLN3 mRNA in cytoplasmic foci; regulates genes involved in the cell cycle, sister chromatid cohesion, and stress response; acts as a cytoplasmic retention factor for Cdc28p and associated cyclins; regulates cell fate and dose-dependently regulates the critical cell size required for passage through Start; Tpk1p (PKA) mediated phosphorylation (S568) inhibits Whi3p function, decreasing its interaction with CLN3 mRNA; regulates ploidy	ORF
S000005195	YNL251C	NRD1	Nrd1 complex RNA-binding subunit	RNA-binding subunit of Nrd1 complex; complex interacts with exosome to mediate 3'-end formation of some mRNAs, snRNAs, snoRNAs, and CUTs; interacts with CTD of RNA pol II large subunit Rpo21p at phosphorylated Ser5 to direct transcription termination of non-polyadenylated transcripts; H3K4 trimethylation of transcribed regions by Set1p enhances recruitment of Nrd1p to those sites; role in regulation of mitochondrial abundance and cell size	ORF
S000002709	YDR301W	CFT1	YHH1	RNA-binding subunit of the mRNA cleavage and polyadenylation factor; involved in poly(A) site recognition and required for both pre-mRNA cleavage and polyadenylation, 51% sequence similarity with mammalian AAUAA-binding subunit of CPSF	ORF
S000002334	YDL175C	AIR2	TRAMP complex RNA-binding subunit	RNA-binding subunit of the TRAMP nuclear RNA surveillance complex; involved in nuclear RNA processing and degradation; involved in TRAMP complex assembly as a bridge between Mtr4p and Trf4p; stimulates the poly(A) polymerase activity of Pap2p in vitro; has 5 zinc knuckle motifs; AIR2 has a paralog, AIR1, that arose from the whole genome duplication; Air2p and Air1p have nonredundant roles in regulation of substrate specificity of the exosome	ORF
S000029023	Q0285	RPM1	""	RNA component of mitochondrial RNase P; mitochondrial RNase P also contains the protein subunit Rpm2p; RNase P removes 5' extensions from mitochondrial tRNA precursors; RPM1 is conserved in bacteria, fungi, and protozoa	ncRNA_gene
S000006490	RPR1	RPR1	""	RNA component of nuclear RNase P; nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; may be responsible for recognition of substrate tRNAs	ncRNA_gene
S000007436	NME1	NME1	RRP2	RNA component of RNase MRP; RNase MRP cleaves pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; human ortholog is implicated in cartilage-hair hypoplasia (CHH)	snoRNA_gene
S000003139	YGL171W	ROK1	RNA-dependent ATPase ROK1	RNA-dependent ATPase; involved in pre-rRNA processing at sites A0, A1, and A2, and in control of cell cycle progression; contains two upstream open reading frames (uORFs) in 5' untranslated region which regulate translation	ORF
S000003046	YGL078C	DBP3	RNA-dependent ATPase DBP3	RNA-Dependent ATPase, member of DExD/H-box family; involved in cleavage of site A3 within the ITS1 spacer during rRNA processing; not essential for growth, but deletion causes severe slow-growth phenotype	ORF
S000000974	YER172C	BRR2	PRP44 SNU246 SLT22 ATP-dependent RNA helicase BRR2 RSS1	RNA-dependent ATPase RNA helicase (DEIH box); required for disruption of U4/U6 base-pairing in native snRNPs to activate the spliceosome for catalysis; homologous to human U5-200kD	ORF
S000005294	YNR011C	PRP2	DEAH-box RNA-dependent ATPase PRP2 RNA2	RNA-dependent DExD/H-box ATPase; required for activation of spliceosome before first transesterification step in RNA splicing; implicated in rearranging and proofreading snRNA structure in catalytic activation of spliceosome; ortholog of human protein DHX16	ORF
S000005692	YOR166C	SWT1	mRNA-processing endoribonuclease	RNA endoribonuclease involved in perinuclear mRNP quality control; involved in perinuclear mRNP quality control via the turnover of aberrant, unprocessed pre-mRNAs; interacts with subunits of THO/TREX, TREX-2, and RNA polymerase II; contains a PIN (PilT N terminus) domain	ORF
S000004097	YLR107W	REX3	RNA exonuclease	RNA exonuclease; required for maturation of the RNA component of RNase MRP; functions redundantly with Rnh70p and Rex2p in processing of U5 snRNA and RNase P RNA; member of RNase D family of exonucleases	ORF
S000000909	YER107C	GLE2	RAE1 RNA export factor GLE2	RNA export factor associated with the nuclear pore complex (NPC); associates with NUP116p; required for polyadenylated RNA export but not for protein import; homologous to S. pombe Rae1p and human RAE1	ORF
S000000441	YBR237W	PRP5	RNA5 DEAD-box RNA helicase PRP5	RNA helicase in the DEAD-box family; necessary for prespliceosome formation, bridges U1 and U2 snRNPs and enables stable U2 snRNP association with intron RNA	ORF
S000003088	YGL120C	PRP43	DEAH-box ATP-dependent RNA helicase PRP43 JA1	RNA helicase in the DEAH-box family; functions in both RNA polymerase I and polymerase II transcript metabolism; catalyzes removal of U2, U5, and U6 snRNPs from the postsplicing lariat-intron ribonucleoprotein complex; required for efficient biogenesis of both small- and large-subunit rRNAs; acts with Sqs1p to promote 20S to 18S rRNA processing catalyzed by endonuclease Nob1p	ORF
S000001632	YKL149C	DBR1	RNA lariat debranching enzyme PRP26	RNA lariat debranching enzyme; catalyzes debranching of lariat introns formed during pre-mRNA splicing; required for efficient Ty1 transposition; knockdown of human homolog Dbr1 rescues toxicity of RNA-binding proteins TDP-43 and FUS which are implicated in amyotrophic lateral sclerosis (ALS), suggests potential therapeutic target for ALS and related TDP-43 proteinopathies; human homolog DBR1 can complement yeast dbr1 null mutant	ORF
S000028470	RUF5-1	RUF5-1	RUF5	RNA of Unknown Function	ncRNA_gene
S000028474	RUF5-2	RUF5-2	RUF5	RNA of Unknown Function	ncRNA_gene
S000130127	RUF20	RUF20	""	RNA of Unknown Function	ncRNA_gene
S000130129	RUF21	RUF21	""	RNA of Unknown Function	ncRNA_gene
S000130131	RUF22	RUF22	""	RNA of Unknown Function; precise location of 3' end uncertain; RUF22 may be longer than currently annotated	ncRNA_gene
S000130133	RUF23	RUF23	""	RNA of Unknown Function; precise location of 3' end uncertain; RUF23 may be longer than currently annotated	ncRNA_gene
S000001537	YKL054C	DEF1	VID31 DNA damage-responsive RNA polymerase-degradation factor DEF1	RNAPII degradation factor; forms a complex with Rad26p in chromatin, enables ubiquitination and proteolysis of RNAPII present in an elongation complex; mutant is deficient in Zip1p loading onto chromosomes during meiosis	ORF
S000005636	YOR110W	TFC7	tau 55 transcription factor TFIIIC subunit TFC7	RNA pol III transcription initiation factor complex (TFIIIC) subunit; part of the TauA globular domain of TFIIIC that binds DNA at the BoxA promoter sites of tRNA and similar genes; TFC7 has a paralog, YNL108C, that arose from the whole genome duplication	ORF
S000000253	YBR049C	REB1	GRF2 DNA-binding protein REB1	RNA polymerase I enhancer binding protein; DNA binding protein that binds to genes transcribed by both RNA polymerase I and RNA polymerase II; required for termination of RNA polymerase I transcription; Reb1p bound to DNA acts to block RNA polymerase II readthrough transcription	ORF
S000005642	YOR116C	RPO31	C160 DNA-directed RNA polymerase III core subunit RPO31 RPC160 RPC1	RNA polymerase III largest subunit C160; part of core enzyme; similar to bacterial beta-prime subunit and to RPA190 and RPO21	ORF
S000002452	YDR045C	RPC11	C11 DNA-directed RNA polymerase III core subunit RPC11	RNA polymerase III subunit C11; mediates pol III RNA cleavage activity and is important for termination of transcription; homologous to TFIIS	ORF
S000003548	YJL011C	RPC17	DNA-directed RNA polymerase III subunit RPC17 C17	RNA polymerase III subunit C17; physically interacts with C31, C11, and TFIIIB70; may be involved in the recruitment of pol III by the preinitiation complex; protein abundance increases in response to DNA replication stress; relocalizes to the cytosol in response to hypoxia	ORF
S000001627	YKL144C	RPC25	DNA-directed RNA polymerase III subunit RPC25 C25 YKL1	RNA polymerase III subunit C25; required for transcription initiation; forms a heterodimer with Rpc17p; paralog of Rpb7p	ORF
S000005095	YNL151C	RPC31	ACP2 RPC8 DNA-directed RNA polymerase III subunit C31 C31	RNA polymerase III subunit C31	ORF
S000005286	YNR003C	RPC34	C34 DNA-directed RNA polymerase III subunit C34	RNA polymerase III subunit C34; interacts with TFIIIB70 and is a key determinant in pol III recruitment by the preinitiation complex	ORF
S000001733	YKR025W	RPC37	C37 DNA-directed RNA polymerase III subunit C37	RNA polymerase III subunit C37	ORF
S000002309	YDL150W	RPC53	DNA-directed RNA polymerase III subunit C53 C53 RPC4	RNA polymerase III subunit C53	ORF
S000006394	YPR190C	RPC82	DNA-directed RNA polymerase III subunit C82 RPC3 RPC80	RNA polymerase III subunit C82	ORF
S000114171	RNA170	RNA170	""	RNA polymerase III transcribed RNA of unknown function; conserved in other yeast species	ncRNA_gene
S000002299	YDL140C	RPO21	B220 RPB220 RPB1 SUA8 DNA-directed RNA polymerase II core subunit RPO21	RNA polymerase II largest subunit B220; part of central core; phosphorylation of C-terminal heptapeptide repeat domain regulates association with transcription and splicing factors; similar to bacterial beta-prime	ORF
S000005677	YOR151C	RPB2	RPB150 RPO22 SIT2 SOH2 B150 DNA-directed RNA polymerase II core subunit RPB2	RNA polymerase II second largest subunit B150; part of central core; similar to bacterial beta subunit	ORF
S000005365	YOL005C	RPB11	DNA-directed RNA polymerase II core subunit RPB11 B12.5	RNA polymerase II subunit B12.5; part of central core; similar to Rpc19p and bacterial alpha subunit	ORF
S000003038	YGL070C	RPB9	B12.6 SHI SSU73 DNA-directed RNA polymerase II core subunit RPB9	RNA polymerase II subunit B12.6; contacts DNA; mutations affect transcription start site selection and fidelity of transcription	ORF
S000002812	YDR404C	RPB7	DNA-directed RNA polymerase II subunit RPB7 B16	RNA polymerase II subunit B16; forms dissociable heterodimer with Rpb4p; Rpb4/7 dissociates from RNAPII as Ser2 CTD phosphorylation increases; Rpb4/7 regulates cellular lifespan via mRNA decay process; involved in recruitment of 3'-end processing factors to transcribing RNA polymerase II complex, export of mRNA to cytoplasm under stress conditions; also involved in translation initiation	ORF
