Gene > Secondary Identifier	Gene > Symbol	Gene > DB identifier	Gene > Organism Name	Gene > Cytological Location	Gene > Name	Gene > Description
CR45016	CR45016	FBgn0266372	Drosophila melanogaster	""	""	""
CR45018	CR45018	FBgn0266376	Drosophila melanogaster	""	""	""
CR45020	CR45020	FBgn0266378	Drosophila melanogaster	""	""	""
CR45021	CR45021	FBgn0266379	Drosophila melanogaster	""	""	""
CR45022	CR45022	FBgn0266380	Drosophila melanogaster	""	""	""
CR45023	CR45023	FBgn0266381	Drosophila melanogaster	""	""	""
CR45024	CR45024	FBgn0266382	Drosophila melanogaster	""	""	""
CR45025	CR45025	FBgn0266383	Drosophila melanogaster	""	""	""
CR45026	CR45026	FBgn0266384	Drosophila melanogaster	""	""	""
CR45028	CR45028	FBgn0266388	Drosophila melanogaster	""	""	""
CR45029	CR45029	FBgn0266389	Drosophila melanogaster	""	""	""
CR45030	CR45030	FBgn0266390	Drosophila melanogaster	""	""	""
CR45031	CR45031	FBgn0266391	Drosophila melanogaster	""	""	""
CR45032	CR45032	FBgn0266392	Drosophila melanogaster	""	""	""
CR45033	CR45033	FBgn0266393	Drosophila melanogaster	""	""	""
CR45034	CR45034	FBgn0266394	Drosophila melanogaster	""	""	""
CR45035	CR45035	FBgn0266395	Drosophila melanogaster	""	""	""
CR45036	CR45036	FBgn0266396	Drosophila melanogaster	""	""	""
CR45037	CR45037	FBgn0266397	Drosophila melanogaster	""	""	""
CR45038	CR45038	FBgn0266398	Drosophila melanogaster	""	""	""
CR45039	CR45039	FBgn0266399	Drosophila melanogaster	""	""	""
CR45040	CR45040	FBgn0266400	Drosophila melanogaster	""	""	""
CR45041	CR45041	FBgn0266401	Drosophila melanogaster	""	""	""
CR45042	CR45042	FBgn0266402	Drosophila melanogaster	""	""	""
CR45043	CR45043	FBgn0266403	Drosophila melanogaster	""	""	""
CR45044	CR45044	FBgn0266404	Drosophila melanogaster	""	""	""
CR45045	CR45045	FBgn0266405	Drosophila melanogaster	""	""	""
CR45046	CR45046	FBgn0266406	Drosophila melanogaster	""	""	""
CR45047	CR45047	FBgn0266407	Drosophila melanogaster	""	""	""
CR45048	CR45048	FBgn0266408	Drosophila melanogaster	""	""	""
CR45052	CR45052	FBgn0266412	Drosophila melanogaster	""	""	""
CR45053	CR45053	FBgn0266413	Drosophila melanogaster	""	""	""
CR45054	CR45054	FBgn0266414	Drosophila melanogaster	""	""	""
CR45055	CR45055	FBgn0266415	Drosophila melanogaster	""	""	""
CR45056	CR45056	FBgn0266416	Drosophila melanogaster	""	""	""
CR45059	CR45059	FBgn0266419	Drosophila melanogaster	""	""	""
CR45082	CR45082	FBgn0266457	Drosophila melanogaster	""	""	""
CR45096	CR45096	FBgn0266535	Drosophila melanogaster	""	""	""
CR45097	CR45097	FBgn0266536	Drosophila melanogaster	""	""	""
CR45098	CR45098	FBgn0266537	Drosophila melanogaster	""	""	""
CR45102	CR45102	FBgn0266549	Drosophila melanogaster	""	""	""
CR45103	CR45103	FBgn0266564	Drosophila melanogaster	""	""	""
CR45104	CR45104	FBgn0266565	Drosophila melanogaster	""	""	""
CR45106	tRNA:Thr-TGT-2-3	FBgn0266573	Drosophila melanogaster	""	transfer RNA:Threonine-TGT 2-3	""
CR45107	tRNA:Thr-TGT-2-4	FBgn0266574	Drosophila melanogaster	""	transfer RNA:Threonine-TGT 2-4	""
CR45108	CR45108	FBgn0266577	Drosophila melanogaster	""	""	""
CR45109	CR45109	FBgn0266578	Drosophila melanogaster	""	""	""
CR45111	CR45111	FBgn0266586	Drosophila melanogaster	""	""	""
CR45112	CR45112	FBgn0266587	Drosophila melanogaster	""	""	""
CR45113	CR45113	FBgn0266588	Drosophila melanogaster	""	""	""
CR45114	CR45114	FBgn0266589	Drosophila melanogaster	""	""	""
CR45115	CR45115	FBgn0266590	Drosophila melanogaster	""	""	""
CR45117	CR45117	FBgn0266592	Drosophila melanogaster	""	""	""
CR45118	CR45118	FBgn0266593	Drosophila melanogaster	""	""	""
CR45119	CR45119	FBgn0266594	Drosophila melanogaster	""	""	""
CR45120	CR45120	FBgn0266595	Drosophila melanogaster	""	""	""
CR45121	CR45121	FBgn0266596	Drosophila melanogaster	""	""	""
CR45123	CR45123	FBgn0266616	Drosophila melanogaster	""	""	""
CR45124	CR45124	FBgn0266617	Drosophila melanogaster	""	""	""
CR45125	CR45125	FBgn0266618	Drosophila melanogaster	""	""	""
CR45126	CR45126	FBgn0266619	Drosophila melanogaster	""	""	""
CR45127	CR45127	FBgn0266620	Drosophila melanogaster	""	""	""
CR45128	CR45128	FBgn0266621	Drosophila melanogaster	""	""	""
CR45129	CR45129	FBgn0266622	Drosophila melanogaster	""	""	""
CR45130	CR45130	FBgn0266623	Drosophila melanogaster	""	""	""
CR45131	CR45131	FBgn0266624	Drosophila melanogaster	""	""	""
CR45132	CR45132	FBgn0266625	Drosophila melanogaster	""	""	""
CR45133	CR45133	FBgn0266626	Drosophila melanogaster	""	""	""
CR45134	CR45134	FBgn0266627	Drosophila melanogaster	""	""	""
CR45135	CR45135	FBgn0266628	Drosophila melanogaster	""	""	""
CR45136	CR45136	FBgn0266629	Drosophila melanogaster	""	""	""
CR45137	CR45137	FBgn0266630	Drosophila melanogaster	""	""	""
CR45138	CR45138	FBgn0266631	Drosophila melanogaster	""	""	""
CR45139	CR45139	FBgn0266632	Drosophila melanogaster	""	""	""
CR45140	CR45140	FBgn0266633	Drosophila melanogaster	""	""	""
CR45141	CR45141	FBgn0266634	Drosophila melanogaster	""	""	""
CR45142	CR45142	FBgn0266635	Drosophila melanogaster	""	""	""
CR45143	CR45143	FBgn0266636	Drosophila melanogaster	""	""	""
CR45144	CR45144	FBgn0266637	Drosophila melanogaster	""	""	""
CR45145	CR45145	FBgn0266638	Drosophila melanogaster	""	""	""
CR45146	CR45146	FBgn0266639	Drosophila melanogaster	""	""	""
CR45147	CR45147	FBgn0266640	Drosophila melanogaster	""	""	""
CR45148	CR45148	FBgn0266641	Drosophila melanogaster	""	""	""
CR45149	CR45149	FBgn0266642	Drosophila melanogaster	""	""	""
CR45150	CR45150	FBgn0266643	Drosophila melanogaster	""	""	""
CR45151	CR45151	FBgn0266644	Drosophila melanogaster	""	""	""
CR45152	CR45152	FBgn0266645	Drosophila melanogaster	""	""	""
CR45153	CR45153	FBgn0266646	Drosophila melanogaster	""	""	""
CR45155	CR45155	FBgn0266648	Drosophila melanogaster	""	""	""
CR45156	CR45156	FBgn0266649	Drosophila melanogaster	""	""	""
CR45157	CR45157	FBgn0266650	Drosophila melanogaster	""	""	""
CR45158	CR45158	FBgn0266651	Drosophila melanogaster	""	""	""
CR45159	CR45159	FBgn0266652	Drosophila melanogaster	""	""	""
CR45160	CR45160	FBgn0266653	Drosophila melanogaster	""	""	""
CR45161	CR45161	FBgn0266654	Drosophila melanogaster	""	""	""
CR45162	CR45162	FBgn0266655	Drosophila melanogaster	""	""	""
CR45163	CR45163	FBgn0266656	Drosophila melanogaster	""	""	""
CR45164	CR45164	FBgn0266657	Drosophila melanogaster	""	""	""
CR45165	CR45165	FBgn0266675	Drosophila melanogaster	""	""	""
CR45166	CR45166	FBgn0266676	Drosophila melanogaster	""	""	""
CR45167	CR45167	FBgn0266677	Drosophila melanogaster	""	""	""
CR45168	CR45168	FBgn0266678	Drosophila melanogaster	""	""	""
CR45169	CR45169	FBgn0266679	Drosophila melanogaster	""	""	""
CR45170	CR45170	FBgn0266680	Drosophila melanogaster	""	""	""
CR45171	CR45171	FBgn0266681	Drosophila melanogaster	""	""	""
CR45172	CR45172	FBgn0266682	Drosophila melanogaster	""	""	""
CR45173	CR45173	FBgn0266683	Drosophila melanogaster	""	""	""
CR45174	CR45174	FBgn0266684	Drosophila melanogaster	""	""	""
CR45175	CR45175	FBgn0266685	Drosophila melanogaster	""	""	""
CR45176	CR45176	FBgn0266686	Drosophila melanogaster	""	""	""
CR45177	CR45177	FBgn0266687	Drosophila melanogaster	""	""	""
CR45178	CR45178	FBgn0266688	Drosophila melanogaster	""	""	""
CR45179	CR45179	FBgn0266689	Drosophila melanogaster	""	""	""
CR45180	CR45180	FBgn0266690	Drosophila melanogaster	""	""	""
CR45181	CR45181	FBgn0266691	Drosophila melanogaster	""	""	""
CR45182	CR45182	FBgn0266692	Drosophila melanogaster	""	""	""
CR45183	CR45183	FBgn0266693	Drosophila melanogaster	""	""	""
CR45184	CR45184	FBgn0266694	Drosophila melanogaster	""	""	""
CR45185	CR45185	FBgn0267495	Drosophila melanogaster	""	""	""
CR45187	CR45187	FBgn0266697	Drosophila melanogaster	""	""	""
CR45188	CR45188	FBgn0266698	Drosophila melanogaster	""	""	""
CR45189	CR45189	FBgn0266699	Drosophila melanogaster	""	""	""
CR45190	CR45190	FBgn0266700	Drosophila melanogaster	""	""	""
CR45191	CR45191	FBgn0266701	Drosophila melanogaster	""	""	""
CR45192	CR45192	FBgn0266702	Drosophila melanogaster	""	""	""
CR45193	CR45193	FBgn0266703	Drosophila melanogaster	""	""	""
CR45195	CR45195	FBgn0266705	Drosophila melanogaster	""	""	""
CR45196	CR45196	FBgn0266706	Drosophila melanogaster	""	""	""
CR45197	CR45197	FBgn0266707	Drosophila melanogaster	""	""	""
CR45198	CR45198	FBgn0266725	Drosophila melanogaster	""	""	""
CR45199	CR45199	FBgn0266726	Drosophila melanogaster	""	""	""
CR45200	CR45200	FBgn0266727	Drosophila melanogaster	""	""	""
CR45201	CR45201	FBgn0266728	Drosophila melanogaster	""	""	""
CR45202	CR45202	FBgn0266729	Drosophila melanogaster	""	""	""
CR45203	CR45203	FBgn0266730	Drosophila melanogaster	""	""	""
CR45204	CR45204	FBgn0266731	Drosophila melanogaster	""	""	""
CR45205	CR45205	FBgn0266732	Drosophila melanogaster	""	""	""
CR45206	CR45206	FBgn0266733	Drosophila melanogaster	""	""	""
CR45207	CR45207	FBgn0266734	Drosophila melanogaster	""	""	""
CR45208	CR45208	FBgn0266735	Drosophila melanogaster	""	""	""
CR45209	CR45209	FBgn0266736	Drosophila melanogaster	""	""	""
CR45210	CR45210	FBgn0266737	Drosophila melanogaster	""	""	""
CR45211	CR45211	FBgn0266738	Drosophila melanogaster	""	""	""
CR45212	CR45212	FBgn0266739	Drosophila melanogaster	""	""	""
CR45213	CR45213	FBgn0266740	Drosophila melanogaster	""	""	""
CR45214	CR45214	FBgn0266741	Drosophila melanogaster	""	""	""
CR45215	CR45215	FBgn0266742	Drosophila melanogaster	""	""	""
CR45216	CR45216	FBgn0266743	Drosophila melanogaster	""	""	""
CR45217	CR45217	FBgn0266744	Drosophila melanogaster	""	""	""
CR45220	CR45220	FBgn0266747	Drosophila melanogaster	""	""	""
CR45221	CR45221	FBgn0266748	Drosophila melanogaster	""	""	""
CR45222	CR45222	FBgn0266749	Drosophila melanogaster	""	""	""
CR45223	CR45223	FBgn0266750	Drosophila melanogaster	""	""	""
CR45224	CR45224	FBgn0266751	Drosophila melanogaster	""	""	""
CR45225	CR45225	FBgn0266752	Drosophila melanogaster	""	""	""
CR45226	CR45226	FBgn0266753	Drosophila melanogaster	""	""	""
CR45227	CR45227	FBgn0266762	Drosophila melanogaster	""	""	""
CR45228	CR45228	FBgn0266763	Drosophila melanogaster	""	""	""
CR45229	CR45229	FBgn0266764	Drosophila melanogaster	""	""	""
CR45231	CR45231	FBgn0266766	Drosophila melanogaster	""	""	""
CR45232	CR45232	FBgn0267793	Drosophila melanogaster	""	""	""
CR45233	CR45233	FBgn0266768	Drosophila melanogaster	""	""	""
CR45234	CR45234	FBgn0266769	Drosophila melanogaster	""	""	""
CR45236	CR45236	FBgn0266771	Drosophila melanogaster	""	""	""
CR45237	CR45237	FBgn0266772	Drosophila melanogaster	""	""	""
CR45238	CR45238	FBgn0266773	Drosophila melanogaster	""	""	""
CR45239	CR45239	FBgn0266774	Drosophila melanogaster	""	""	""
CR45240	CR45240	FBgn0266775	Drosophila melanogaster	""	""	""
CR45241	CR45241	FBgn0266776	Drosophila melanogaster	""	""	""
CR45242	CR45242	FBgn0266777	Drosophila melanogaster	""	""	""
CR45243	CR45243	FBgn0266778	Drosophila melanogaster	""	""	""
CR45245	CR45245	FBgn0266780	Drosophila melanogaster	""	""	""
CR45246	CR45246	FBgn0266781	Drosophila melanogaster	""	""	""
CR45247	CR45247	FBgn0266782	Drosophila melanogaster	""	""	""
CR45248	CR45248	FBgn0266783	Drosophila melanogaster	""	""	""
CR45249	CR45249	FBgn0266784	Drosophila melanogaster	""	""	""
CR45250	CR45250	FBgn0266785	Drosophila melanogaster	""	""	""
CR45251	CR45251	FBgn0266786	Drosophila melanogaster	""	""	""
CR45252	CR45252	FBgn0266787	Drosophila melanogaster	""	""	""
CR45253	CR45253	FBgn0266788	Drosophila melanogaster	""	""	""
CR45254	CR45254	FBgn0266789	Drosophila melanogaster	""	""	""
CR45255	CR45255	FBgn0266790	Drosophila melanogaster	""	""	""
CR45256	CR45256	FBgn0266791	Drosophila melanogaster	""	""	""
CR45257	CR45257	FBgn0266795	Drosophila melanogaster	""	""	""
CR45258	CR45258	FBgn0266796	Drosophila melanogaster	""	""	""
CR45259	CR45259	FBgn0266797	Drosophila melanogaster	""	""	""
CR45260	CR45260	FBgn0266798	Drosophila melanogaster	""	""	""
CR45261	CR45261	FBgn0266799	Drosophila melanogaster	""	""	""
CR45262	CR45262	FBgn0266800	Drosophila melanogaster	""	""	""
CR45264	CR45264	FBgn0266802	Drosophila melanogaster	""	""	""
CR45265	CR45265	FBgn0266803	Drosophila melanogaster	""	""	""
CR45266	CR45266	FBgn0266804	Drosophila melanogaster	""	""	""
CR45267	CR45267	FBgn0266805	Drosophila melanogaster	""	""	""
CR45268	CR45268	FBgn0266806	Drosophila melanogaster	""	""	""
CR45269	CR45269	FBgn0266807	Drosophila melanogaster	""	""	""
CR45270	CR45270	FBgn0266808	Drosophila melanogaster	""	""	""
CR45271	CR45271	FBgn0266809	Drosophila melanogaster	""	""	""
CR45272	CR45272	FBgn0266810	Drosophila melanogaster	""	""	""
CR45273	CR45273	FBgn0266811	Drosophila melanogaster	""	""	""
CR45274	CR45274	FBgn0266812	Drosophila melanogaster	""	""	""
CR45275	CR45275	FBgn0266813	Drosophila melanogaster	""	""	""
CR45276	CR45276	FBgn0266814	Drosophila melanogaster	""	""	""
CR45277	CR45277	FBgn0266815	Drosophila melanogaster	""	""	""
CR45278	CR45278	FBgn0266816	Drosophila melanogaster	""	""	""
CR45279	CR45279	FBgn0266817	Drosophila melanogaster	""	""	""
CR45280	CR45280	FBgn0266818	Drosophila melanogaster	""	""	""
CR45281	CR45281	FBgn0266819	Drosophila melanogaster	""	""	""
CR45282	CR45282	FBgn0266820	Drosophila melanogaster	""	""	""
CR45283	CR45283	FBgn0266821	Drosophila melanogaster	""	""	""
CR45284	CR45284	FBgn0266822	Drosophila melanogaster	""	""	""
CR45285	CR45285	FBgn0266823	Drosophila melanogaster	""	""	""
CR45286	CR45286	FBgn0266824	Drosophila melanogaster	""	""	""
CR45287	CR45287	FBgn0266825	Drosophila melanogaster	""	""	""
CR45288	CR45288	FBgn0266826	Drosophila melanogaster	""	""	""
CR45289	CR45289	FBgn0266827	Drosophila melanogaster	""	""	""
CR45290	CR45290	FBgn0266828	Drosophila melanogaster	""	""	""
CR45291	CR45291	FBgn0266829	Drosophila melanogaster	""	""	""
CR45292	CR45292	FBgn0266830	Drosophila melanogaster	""	""	""
CR45293	CR45293	FBgn0266831	Drosophila melanogaster	""	""	""
CR45294	CR45294	FBgn0266832	Drosophila melanogaster	""	""	""
CR45295	CR45295	FBgn0266833	Drosophila melanogaster	""	""	""
CR45296	CR45296	FBgn0266834	Drosophila melanogaster	""	""	""
CR45297	CR45297	FBgn0266835	Drosophila melanogaster	""	""	""
CR45298	CR45298	FBgn0266836	Drosophila melanogaster	""	""	""
CR45299	CR45299	FBgn0266837	Drosophila melanogaster	""	""	""
CR45300	CR45300	FBgn0266838	Drosophila melanogaster	""	""	""
CR45301	CR45301	FBgn0266839	Drosophila melanogaster	""	""	""
CR45302	CR45302	FBgn0266840	Drosophila melanogaster	""	""	""
CR45303	CR45303	FBgn0266841	Drosophila melanogaster	""	""	""
CR45304	CR45304	FBgn0266842	Drosophila melanogaster	""	""	""
CR45305	CR45305	FBgn0266843	Drosophila melanogaster	""	""	""
CR45306	CR45306	FBgn0266844	Drosophila melanogaster	""	""	""
CR45308	CR45308	FBgn0266846	Drosophila melanogaster	""	""	""
CR45309	CR45309	FBgn0266847	Drosophila melanogaster	""	""	""
CR45310	CR45310	FBgn0266849	Drosophila melanogaster	""	""	""
CR45311	CR45311	FBgn0266850	Drosophila melanogaster	""	""	""
CR45312	CR45312	FBgn0266851	Drosophila melanogaster	""	""	""
CR45313	CR45313	FBgn0266852	Drosophila melanogaster	""	""	""
CR45314	CR45314	FBgn0266853	Drosophila melanogaster	""	""	""
CR45315	CR45315	FBgn0266854	Drosophila melanogaster	""	""	""
CR45316	CR45316	FBgn0266855	Drosophila melanogaster	""	""	""
CR45317	CR45317	FBgn0266856	Drosophila melanogaster	""	""	""
CR45318	CR45318	FBgn0266857	Drosophila melanogaster	""	""	""
CR45319	CR45319	FBgn0266858	Drosophila melanogaster	""	""	""
CR45320	CR45320	FBgn0266859	Drosophila melanogaster	""	""	""
CR45321	CR45321	FBgn0266860	Drosophila melanogaster	""	""	""
CR45322	CR45322	FBgn0266861	Drosophila melanogaster	""	""	""
CR45323	CR45323	FBgn0266862	Drosophila melanogaster	""	""	""
CR45324	CR45324	FBgn0266863	Drosophila melanogaster	""	""	""
CR45325	CR45325	FBgn0266864	Drosophila melanogaster	""	""	""
CR45326	CR45326	FBgn0266865	Drosophila melanogaster	""	""	""
CR45327	CR45327	FBgn0266866	Drosophila melanogaster	""	""	""
CR45328	CR45328	FBgn0266867	Drosophila melanogaster	""	""	""
CR45329	CR45329	FBgn0266868	Drosophila melanogaster	""	""	""
CR45330	CR45330	FBgn0266869	Drosophila melanogaster	""	""	""
CR45331	CR45331	FBgn0266870	Drosophila melanogaster	""	""	""
CR45332	CR45332	FBgn0266871	Drosophila melanogaster	""	""	""
CR45333	CR45333	FBgn0266872	Drosophila melanogaster	""	""	""
CR45334	CR45334	FBgn0266873	Drosophila melanogaster	""	""	""
CR45335	CR45335	FBgn0266874	Drosophila melanogaster	""	""	""
CR45336	CR45336	FBgn0266875	Drosophila melanogaster	""	""	""
CR45337	CR45337	FBgn0266876	Drosophila melanogaster	""	""	""
CR45338	CR45338	FBgn0266877	Drosophila melanogaster	""	""	""
CR45339	CR45339	FBgn0266878	Drosophila melanogaster	""	""	""
CR45340	CR45340	FBgn0266879	Drosophila melanogaster	""	""	""
CR45341	CR45341	FBgn0266880	Drosophila melanogaster	""	""	""
CR45342	CR45342	FBgn0266881	Drosophila melanogaster	""	""	""
CR45343	CR45343	FBgn0266882	Drosophila melanogaster	""	""	""
CR45344	CR45344	FBgn0266883	Drosophila melanogaster	""	""	""
CR45345	CR45345	FBgn0266884	Drosophila melanogaster	""	""	""
CR45346	CR45346	FBgn0266885	Drosophila melanogaster	""	""	""
CR45347	CR45347	FBgn0266886	Drosophila melanogaster	""	""	""
CR45348	CR45348	FBgn0266887	Drosophila melanogaster	""	""	""
CR45349	CR45349	FBgn0266888	Drosophila melanogaster	""	""	""
CR45350	CR45350	FBgn0266889	Drosophila melanogaster	""	""	""
CR45351	CR45351	FBgn0266891	Drosophila melanogaster	""	""	""
CR45352	CR45352	FBgn0266892	Drosophila melanogaster	""	""	""
CR45353	CR45353	FBgn0266893	Drosophila melanogaster	""	""	""
CR45354	CR45354	FBgn0266894	Drosophila melanogaster	""	""	""
CR45355	CR45355	FBgn0266895	Drosophila melanogaster	""	""	""
CR45356	CR45356	FBgn0266896	Drosophila melanogaster	""	""	""
CR45357	CR45357	FBgn0266897	Drosophila melanogaster	""	""	""
CR45358	CR45358	FBgn0266898	Drosophila melanogaster	""	""	""
CR45359	CR45359	FBgn0266899	Drosophila melanogaster	""	""	""
CR45360	CR45360	FBgn0266900	Drosophila melanogaster	""	""	""
CR45361	CR45361	FBgn0266901	Drosophila melanogaster	""	""	""
CR45362	CR45362	FBgn0266902	Drosophila melanogaster	""	""	""
CR45363	CR45363	FBgn0266903	Drosophila melanogaster	""	""	""
CR45364	CR45364	FBgn0266904	Drosophila melanogaster	""	""	""
CR45365	CR45365	FBgn0266905	Drosophila melanogaster	""	""	""
CR45366	CR45366	FBgn0266906	Drosophila melanogaster	""	""	""
CR45367	CR45367	FBgn0266907	Drosophila melanogaster	""	""	""
CR45368	CR45368	FBgn0266908	Drosophila melanogaster	""	""	""
CR45369	CR45369	FBgn0266909	Drosophila melanogaster	""	""	""
CR45370	CR45370	FBgn0266910	Drosophila melanogaster	""	""	""
CR45371	CR45371	FBgn0266911	Drosophila melanogaster	""	""	""
CR45372	CR45372	FBgn0266912	Drosophila melanogaster	""	""	""
CR45373	CR45373	FBgn0266913	Drosophila melanogaster	""	""	""
CR45374	CR45374	FBgn0266914	Drosophila melanogaster	""	""	""
CR45375	CR45375	FBgn0266915	Drosophila melanogaster	""	""	""
CR45376	CR45376	FBgn0266925	Drosophila melanogaster	""	""	""
CR45377	CR45377	FBgn0266926	Drosophila melanogaster	""	""	""
CR45378	CR45378	FBgn0266927	Drosophila melanogaster	""	""	""
CR45379	CR45379	FBgn0266928	Drosophila melanogaster	""	""	""
CR45380	CR45380	FBgn0266929	Drosophila melanogaster	""	""	""
CR45381	CR45381	FBgn0266930	Drosophila melanogaster	""	""	""
CR45382	CR45382	FBgn0266931	Drosophila melanogaster	""	""	""
CR45383	CR45383	FBgn0266932	Drosophila melanogaster	""	""	""
CR45384	CR45384	FBgn0266933	Drosophila melanogaster	""	""	""
CR45385	CR45385	FBgn0266934	Drosophila melanogaster	""	""	""
CR45386	CR45386	FBgn0266935	Drosophila melanogaster	""	""	""
CR45387	CR45387	FBgn0266936	Drosophila melanogaster	""	""	""
CR45388	CR45388	FBgn0266937	Drosophila melanogaster	""	""	""
CR45389	CR45389	FBgn0266938	Drosophila melanogaster	""	""	""
CR45390	CR45390	FBgn0266939	Drosophila melanogaster	""	""	""
CR45391	CR45391	FBgn0266940	Drosophila melanogaster	""	""	""
CR45392	CR45392	FBgn0266941	Drosophila melanogaster	""	""	""
CR45393	CR45393	FBgn0266942	Drosophila melanogaster	""	""	""
CR45394	CR45394	FBgn0266943	Drosophila melanogaster	""	""	""
CR45395	CR45395	FBgn0266944	Drosophila melanogaster	""	""	""
CR45396	CR45396	FBgn0266945	Drosophila melanogaster	""	""	""
CR45397	CR45397	FBgn0266946	Drosophila melanogaster	""	""	""
CR45398	CR45398	FBgn0266947	Drosophila melanogaster	""	""	""
CR45399	CR45399	FBgn0266948	Drosophila melanogaster	""	""	""
CR45400	CR45400	FBgn0266949	Drosophila melanogaster	""	""	""
CR45401	CR45401	FBgn0266950	Drosophila melanogaster	""	""	""
CR45402	CR45402	FBgn0266951	Drosophila melanogaster	""	""	""
CR45403	CR45403	FBgn0266952	Drosophila melanogaster	""	""	""
CR45404	CR45404	FBgn0266953	Drosophila melanogaster	""	""	""
CR45405	CR45405	FBgn0266954	Drosophila melanogaster	""	""	""
CR45406	CR45406	FBgn0266955	Drosophila melanogaster	""	""	""
CR45407	CR45407	FBgn0266956	Drosophila melanogaster	""	""	""
CR45408	CR45408	FBgn0266957	Drosophila melanogaster	""	""	""
CR45409	CR45409	FBgn0266958	Drosophila melanogaster	""	""	""
CR45410	CR45410	FBgn0266959	Drosophila melanogaster	""	""	""
CR45411	CR45411	FBgn0266960	Drosophila melanogaster	""	""	""
CR45412	CR45412	FBgn0266961	Drosophila melanogaster	""	""	""
CR45414	CR45414	FBgn0266963	Drosophila melanogaster	""	""	""
CR45415	CR45415	FBgn0266964	Drosophila melanogaster	""	""	""
CR45416	CR45416	FBgn0266965	Drosophila melanogaster	""	""	""
CR45417	CR45417	FBgn0266966	Drosophila melanogaster	""	""	""
CR45418	CR45418	FBgn0266967	Drosophila melanogaster	""	""	""
CR45419	CR45419	FBgn0266968	Drosophila melanogaster	""	""	""
CR45420	CR45420	FBgn0266969	Drosophila melanogaster	""	""	""
CR45421	CR45421	FBgn0266970	Drosophila melanogaster	""	""	""
CR45422	CR45422	FBgn0266971	Drosophila melanogaster	""	""	""
CR45423	CR45423	FBgn0266972	Drosophila melanogaster	""	""	""
CR45424	CR45424	FBgn0266973	Drosophila melanogaster	""	""	""
CR45425	CR45425	FBgn0266974	Drosophila melanogaster	""	""	""
CR45426	CR45426	FBgn0266975	Drosophila melanogaster	""	""	""
CR45427	CR45427	FBgn0266976	Drosophila melanogaster	""	""	""
CR45429	CR45429	FBgn0266978	Drosophila melanogaster	""	""	""
CR45430	CR45430	FBgn0266979	Drosophila melanogaster	""	""	""
CR45431	CR45431	FBgn0266980	Drosophila melanogaster	""	""	""
CR45432	CR45432	FBgn0266981	Drosophila melanogaster	""	""	""
CR45433	CR45433	FBgn0266982	Drosophila melanogaster	""	""	""
CR45434	CR45434	FBgn0266983	Drosophila melanogaster	""	""	""
CR45435	CR45435	FBgn0266984	Drosophila melanogaster	""	""	""
CR45436	CR45436	FBgn0266985	Drosophila melanogaster	""	""	""
CR45437	CR45437	FBgn0266986	Drosophila melanogaster	""	""	""
CR45438	CR45438	FBgn0266987	Drosophila melanogaster	""	""	""
CR45439	CR45439	FBgn0266988	Drosophila melanogaster	""	""	""
CR45440	CR45440	FBgn0266989	Drosophila melanogaster	""	""	""
CR45441	CR45441	FBgn0266990	Drosophila melanogaster	""	""	""
CR45442	CR45442	FBgn0266991	Drosophila melanogaster	""	""	""
CR45443	CR45443	FBgn0266992	Drosophila melanogaster	""	""	""
CR45444	CR45444	FBgn0266993	Drosophila melanogaster	""	""	""
CR45445	CR45445	FBgn0266994	Drosophila melanogaster	""	""	""
CR45446	CR45446	FBgn0266995	Drosophila melanogaster	""	""	""
CR45447	CR45447	FBgn0267003	Drosophila melanogaster	""	""	""
CR45448	CR45448	FBgn0267004	Drosophila melanogaster	""	""	""
CR45449	CR45449	FBgn0267005	Drosophila melanogaster	""	""	""
CR45450	CR45450	FBgn0267006	Drosophila melanogaster	""	""	""
CR45451	CR45451	FBgn0267007	Drosophila melanogaster	""	""	""
CR45452	CR45452	FBgn0267008	Drosophila melanogaster	""	""	""
CR45453	CR45453	FBgn0267009	Drosophila melanogaster	""	""	""
CR45454	CR45454	FBgn0267010	Drosophila melanogaster	""	""	""
CR45455	CR45455	FBgn0267011	Drosophila melanogaster	""	""	""
CR45456	CR45456	FBgn0267012	Drosophila melanogaster	""	""	""
CR45457	CR45457	FBgn0267013	Drosophila melanogaster	""	""	""
CR45458	CR45458	FBgn0267014	Drosophila melanogaster	""	""	""
CR45459	CR45459	FBgn0267015	Drosophila melanogaster	""	""	""
CR45460	CR45460	FBgn0267016	Drosophila melanogaster	""	""	""
CR45461	CR45461	FBgn0267017	Drosophila melanogaster	""	""	""
CR45462	CR45462	FBgn0267018	Drosophila melanogaster	""	""	""
CR45463	CR45463	FBgn0267019	Drosophila melanogaster	""	""	""
CR45464	CR45464	FBgn0267020	Drosophila melanogaster	""	""	""
CR45465	CR45465	FBgn0267021	Drosophila melanogaster	""	""	""
CR45466	CR45466	FBgn0267022	Drosophila melanogaster	""	""	""
CR45467	CR45467	FBgn0267023	Drosophila melanogaster	""	""	""
CR45468	CR45468	FBgn0267024	Drosophila melanogaster	""	""	""
CR45469	CR45469	FBgn0267025	Drosophila melanogaster	""	""	""
CR45470	CR45470	FBgn0267026	Drosophila melanogaster	""	""	""
CR45471	CR45471	FBgn0267027	Drosophila melanogaster	""	""	""
CR45472	CR45472	FBgn0267028	Drosophila melanogaster	""	""	""
CR45473	CR45473	FBgn0267029	Drosophila melanogaster	""	""	""
